sample_id,concurrency_level,requested_prompt_len,actual_prompt_len,prompt_len_for_model,output_len,success,ttft_ms,latency_ms,output_tokens,generated_chars,error
1,1,512,512,512,1,True,737.3509691096842,737.3505490832031,1,2,
2,1,512,512,512,1,True,734.5382790081203,734.5379590988159,1,2,
3,1,512,512,512,1,True,743.818405084312,743.8181648030877,1,2,
4,1,512,512,512,1,True,737.6213311217725,737.6211108639836,1,2,
5,1,512,512,512,1,True,742.1990120783448,742.1986921690404,1,2,
6,1,1024,1024,1024,1,True,746.5573530644178,746.5570429340005,1,2,
7,1,1024,1024,1024,1,True,754.7852909192443,754.7850208356977,1,2,
8,1,1024,1024,1024,1,True,716.110173612833,716.1099440418184,1,2,
9,1,1024,1024,1024,1,True,709.9104393273592,709.9101790226996,1,2,
10,1,1024,1024,1024,1,True,714.8471642285585,714.8469039238989,1,2,
11,1,2048,2048,2048,1,True,737.7408882603049,737.7406479790807,1,2,
12,1,2048,2048,2048,1,True,734.6091349609196,734.6088350750506,1,2,
13,1,2048,2048,2048,1,True,726.3062447309494,726.3059047982097,1,2,
14,1,2048,2048,2048,1,True,726.6973070800304,726.6970369964838,1,2,
15,1,2048,2048,2048,1,True,732.4633677490056,732.4631079100072,1,2,
16,1,4096,4096,4096,1,True,793.6618942767382,793.6616139486432,1,2,
17,1,4096,4096,4096,1,True,789.7980250418186,789.7977153770626,1,2,
18,1,4096,4096,4096,1,True,814.8365439847112,814.8362440988421,1,2,
19,1,4096,4096,4096,1,True,815.7316599972546,815.7314597629011,1,2,
20,1,4096,4096,4096,1,True,813.2654819637537,813.2653119973838,1,2,
21,1,8192,8192,8192,1,True,992.17030685395,992.1700665727258,1,2,
22,1,8192,8192,8192,1,True,984.3368199653924,984.3365298584104,1,2,
23,1,8192,8192,8192,1,True,995.7990506663918,995.7988508976996,1,2,
24,1,8192,8192,8192,1,True,992.0250633731484,992.0247732661664,1,2,
25,1,8192,8192,8192,1,True,992.2784538939595,992.2782341018319,1,2,
26,2,512,512,512,1,True,749.4480321183801,749.4476921856403,1,2,
27,2,512,512,512,1,True,1172.849069815129,1172.84876992926,1,2,
28,2,512,512,512,1,True,856.1466317623854,856.1464222148061,1,2,
29,2,512,512,512,1,True,866.5891070850194,866.5889073163271,1,2,
30,2,512,512,512,1,True,860.6818439438939,860.6815738603473,1,2,
